sdz2021_code,statistic,value
N21000616,Access to Services Domain (Rank),180
N21000617,Multiple Deprivation Measure (Rank),650
N21000617,Income Domain (Rank),601
N21000617,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,242
N21000617,Employment Domain (18-64 years) (Rank),624
N21000617,Proportion of the working age population who are employment deprived,256
N21000617,Health Deprivation and Disability Domain (Rank),744
N21000617,"Education, Skills and Training Domain (Rank)",615
N21000617,Access to Services Domain (Rank),226
N21000618,Multiple Deprivation Measure (Rank),651
N21000618,Income Domain (Rank),602
N21000618,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,243
N21000618,Employment Domain (18-64 years) (Rank),625
N21000618,Proportion of the working age population who are employment deprived,257
N21000618,Health Deprivation and Disability Domain (Rank),745
N21000618,"Education, Skills and Training Domain (Rank)",616
N21000618,Access to Services Domain (Rank),227
N21000619,Multiple Deprivation Measure (Rank),772
N21000619,Income Domain (Rank),751
N21000619,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,113
N21000619,Employment Domain (18-64 years) (Rank),765
N21000619,Proportion of the working age population who are employment deprived,82
N21000619,Health Deprivation and Disability Domain (Rank),764
N21000619,"Education, Skills and Training Domain (Rank)",726
N21000619,Access to Services Domain (Rank),257
N21000620,Multiple Deprivation Measure (Rank),761
N21000620,Income Domain (Rank),770
N21000620,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,73
N21000620,Employment Domain (18-64 years) (Rank),735
N21000620,Proportion of the working age population who are employment deprived,116
N21000620,Health Deprivation and Disability Domain (Rank),713
N21000620,"Education, Skills and Training Domain (Rank)",629
N21000620,Access to Services Domain (Rank),307
N21000621,Multiple Deprivation Measure (Rank),790
N21000621,Income Domain (Rank),767
N21000621,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,84
N21000621,Employment Domain (18-64 years) (Rank),794
N21000621,Proportion of the working age population who are employment deprived,65
N21000621,Health Deprivation and Disability Domain (Rank),771
N21000621,"Education, Skills and Training Domain (Rank)",751
N21000621,Access to Services Domain (Rank),265
N21000622,Multiple Deprivation Measure (Rank),490
N21000622,Income Domain (Rank),631
N21000622,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,225
N21000622,Employment Domain (18-64 years) (Rank),329
N21000622,Proportion of the working age population who are employment deprived,517
N21000622,Health Deprivation and Disability Domain (Rank),313
N21000622,"Education, Skills and Training Domain (Rank)",264
N21000622,Access to Services Domain (Rank),398
N21000623,Multiple Deprivation Measure (Rank),724
N21000623,Income Domain (Rank),705
N21000623,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,147
N21000623,Employment Domain (18-64 years) (Rank),697
N21000623,Proportion of the working age population who are employment deprived,147
N21000623,Health Deprivation and Disability Domain (Rank),667
N21000623,"Education, Skills and Training Domain (Rank)",491
N21000623,Access to Services Domain (Rank),301
N21000624,Multiple Deprivation Measure (Rank),714
N21000624,Income Domain (Rank),758
N21000624,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,92
N21000624,Employment Domain (18-64 years) (Rank),684
N21000624,Proportion of the working age population who are employment deprived,157
N21000624,Health Deprivation and Disability Domain (Rank),645
N21000624,"Education, Skills and Training Domain (Rank)",440
N21000624,Access to Services Domain (Rank),334
N21000625,Multiple Deprivation Measure (Rank),238
N21000625,Income Domain (Rank),514
N21000625,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,352
N21000625,Employment Domain (18-64 years) (Rank),166
N21000625,Proportion of the working age population who are employment deprived,642
N21000625,Health Deprivation and Disability Domain (Rank),179
N21000625,"Education, Skills and Training Domain (Rank)",99
N21000625,Access to Services Domain (Rank),697
N21000626,Multiple Deprivation Measure (Rank),200
N21000626,Income Domain (Rank),461
N21000626,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,376
N21000626,Employment Domain (18-64 years) (Rank),154
N21000626,Proportion of the working age population who are employment deprived,650
N21000626,Health Deprivation and Disability Domain (Rank),144
N21000626,"Education, Skills and Training Domain (Rank)",83
N21000626,Access to Services Domain (Rank),677
N21000627,Multiple Deprivation Measure (Rank),335
N21000627,Income Domain (Rank),548
N21000627,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,282
N21000627,Employment Domain (18-64 years) (Rank),257
N21000627,Proportion of the working age population who are employment deprived,589
N21000627,Health Deprivation and Disability Domain (Rank),243
N21000627,"Education, Skills and Training Domain (Rank)",176
N21000627,Access to Services Domain (Rank),604
N21000628,Multiple Deprivation Measure (Rank),745
N21000628,Income Domain (Rank),786
N21000628,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,69
N21000628,Employment Domain (18-64 years) (Rank),729
N21000628,Proportion of the working age population who are employment deprived,117
N21000628,Health Deprivation and Disability Domain (Rank),709
N21000628,"Education, Skills and Training Domain (Rank)",695
N21000628,Access to Services Domain (Rank),235
N21000629,Multiple Deprivation Measure (Rank),760
N21000629,Income Domain (Rank),840
N21000629,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,6
N21000629,Employment Domain (18-64 years) (Rank),648
N21000629,Proportion of the working age population who are employment deprived,214
N21000629,Health Deprivation and Disability Domain (Rank),625
N21000629,"Education, Skills and Training Domain (Rank)",634
N21000629,Access to Services Domain (Rank),295
N21000630,Multiple Deprivation Measure (Rank),713
N21000630,Income Domain (Rank),788
N21000630,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,58
N21000630,Employment Domain (18-64 years) (Rank),662
N21000630,Proportion of the working age population who are employment deprived,222
N21000630,Health Deprivation and Disability Domain (Rank),543
N21000630,"Education, Skills and Training Domain (Rank)",602
N21000630,Access to Services Domain (Rank),275
N21000631,Multiple Deprivation Measure (Rank),145
N21000631,Income Domain (Rank),261
N21000631,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,599
N21000631,Employment Domain (18-64 years) (Rank),146
N21000631,Proportion of the working age population who are employment deprived,677
N21000631,Health Deprivation and Disability Domain (Rank),126
N21000631,"Education, Skills and Training Domain (Rank)",71
N21000631,Access to Services Domain (Rank),627
N21000632,Multiple Deprivation Measure (Rank),108
N21000632,Income Domain (Rank),189
N21000632,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,690
N21000632,Employment Domain (18-64 years) (Rank),127
N21000632,Proportion of the working age population who are employment deprived,685
N21000632,Health Deprivation and Disability Domain (Rank),103
N21000632,"Education, Skills and Training Domain (Rank)",30
N21000632,Access to Services Domain (Rank),585
N21000633,Multiple Deprivation Measure (Rank),541
N21000633,Income Domain (Rank),701
N21000633,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,152
N21000633,Employment Domain (18-64 years) (Rank),451
N21000633,Proportion of the working age population who are employment deprived,417
N21000633,Health Deprivation and Disability Domain (Rank),306
N21000633,"Education, Skills and Training Domain (Rank)",245
N21000633,Access to Services Domain (Rank),439
N21000634,Multiple Deprivation Measure (Rank),673
N21000634,Income Domain (Rank),691
N21000634,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,175
N21000634,Employment Domain (18-64 years) (Rank),667
N21000634,Proportion of the working age population who are employment deprived,215
N21000634,Health Deprivation and Disability Domain (Rank),589
N21000634,"Education, Skills and Training Domain (Rank)",565
N21000634,Access to Services Domain (Rank),346
N21000635,Multiple Deprivation Measure (Rank),679
N21000635,Income Domain (Rank),714
N21000635,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,153
N21000635,Employment Domain (18-64 years) (Rank),668
N21000635,Proportion of the working age population who are employment deprived,216
N21000635,Health Deprivation and Disability Domain (Rank),580
N21000635,"Education, Skills and Training Domain (Rank)",551
N21000635,Access to Services Domain (Rank),350
N21000636,Multiple Deprivation Measure (Rank),680
N21000636,Income Domain (Rank),713
N21000636,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,154
N21000636,Employment Domain (18-64 years) (Rank),671
N21000636,Proportion of the working age population who are employment deprived,208
N21000636,Health Deprivation and Disability Domain (Rank),585
N21000636,"Education, Skills and Training Domain (Rank)",552
N21000636,Access to Services Domain (Rank),372
N21000637,Multiple Deprivation Measure (Rank),445
N21000637,Income Domain (Rank),228
N21000637,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,565
N21000637,Employment Domain (18-64 years) (Rank),565
N21000637,Proportion of the working age population who are employment deprived,252
N21000637,Health Deprivation and Disability Domain (Rank),566
N21000637,"Education, Skills and Training Domain (Rank)",646
N21000637,Access to Services Domain (Rank),81
N21000638,Multiple Deprivation Measure (Rank),408
N21000638,Income Domain (Rank),197
N21000638,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,600
N21000638,Employment Domain (18-64 years) (Rank),533
N21000638,Proportion of the working age population who are employment deprived,281
N21000638,Health Deprivation and Disability Domain (Rank),529
N21000638,"Education, Skills and Training Domain (Rank)",639
N21000638,Access to Services Domain (Rank),110
N21000639,Multiple Deprivation Measure (Rank),577
N21000639,Income Domain (Rank),445
N21000639,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,363
N21000639,Employment Domain (18-64 years) (Rank),634
N21000639,Proportion of the working age population who are employment deprived,201
N21000639,Health Deprivation and Disability Domain (Rank),597
N21000639,"Education, Skills and Training Domain (Rank)",677
N21000639,Access to Services Domain (Rank),86
N21000640,Multiple Deprivation Measure (Rank),524
N21000640,Income Domain (Rank),463
N21000640,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,370
N21000640,Employment Domain (18-64 years) (Rank),532
N21000640,Proportion of the working age population who are employment deprived,307
N21000640,Health Deprivation and Disability Domain (Rank),490
N21000640,"Education, Skills and Training Domain (Rank)",647
N21000640,Access to Services Domain (Rank),173
N21000641,Multiple Deprivation Measure (Rank),460
N21000641,Income Domain (Rank),437
N21000641,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,386
N21000641,Employment Domain (18-64 years) (Rank),432
N21000641,Proportion of the working age population who are employment deprived,392
N21000641,Health Deprivation and Disability Domain (Rank),449
N21000641,"Education, Skills and Training Domain (Rank)",515
N21000641,Access to Services Domain (Rank),242
N21000642,Multiple Deprivation Measure (Rank),461
N21000642,Income Domain (Rank),438
N21000642,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,387
N21000642,Employment Domain (18-64 years) (Rank),433
N21000642,Proportion of the working age population who are employment deprived,393
N21000642,Health Deprivation and Disability Domain (Rank),450
N21000642,"Education, Skills and Training Domain (Rank)",516
N21000642,Access to Services Domain (Rank),243
N21000643,Multiple Deprivation Measure (Rank),574
N21000643,Income Domain (Rank),491
N21000643,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,364
N21000643,Employment Domain (18-64 years) (Rank),581
N21000643,Proportion of the working age population who are employment deprived,266
N21000643,Health Deprivation and Disability Domain (Rank),609
N21000643,"Education, Skills and Training Domain (Rank)",635
N21000643,Access to Services Domain (Rank),130
N21000644,Multiple Deprivation Measure (Rank),462
N21000644,Income Domain (Rank),507
N21000644,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,319
N21000644,Employment Domain (18-64 years) (Rank),420
N21000644,Proportion of the working age population who are employment deprived,404
N21000644,Health Deprivation and Disability Domain (Rank),405
N21000644,"Education, Skills and Training Domain (Rank)",450
N21000644,Access to Services Domain (Rank),223
N21000645,Multiple Deprivation Measure (Rank),567
N21000645,Income Domain (Rank),470
N21000645,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,388
N21000645,Employment Domain (18-64 years) (Rank),545
N21000645,Proportion of the working age population who are employment deprived,308
N21000645,Health Deprivation and Disability Domain (Rank),555
N21000645,"Education, Skills and Training Domain (Rank)",612
N21000645,Access to Services Domain (Rank),172
N21000646,Multiple Deprivation Measure (Rank),566
N21000646,Income Domain (Rank),478
N21000646,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,342
N21000646,Employment Domain (18-64 years) (Rank),646
N21000646,Proportion of the working age population who are employment deprived,175
N21000646,Health Deprivation and Disability Domain (Rank),590
N21000646,"Education, Skills and Training Domain (Rank)",747
N21000646,Access to Services Domain (Rank),37
N21000647,Multiple Deprivation Measure (Rank),637
N21000647,Income Domain (Rank),641
N21000647,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,205
N21000647,Employment Domain (18-64 years) (Rank),605
N21000647,Proportion of the working age population who are employment deprived,247
N21000647,Health Deprivation and Disability Domain (Rank),539
N21000647,"Education, Skills and Training Domain (Rank)",507
N21000647,Access to Services Domain (Rank),323
N21000648,Multiple Deprivation Measure (Rank),609
N21000648,Income Domain (Rank),654
N21000648,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,208
N21000648,Employment Domain (18-64 years) (Rank),572
N21000648,Proportion of the working age population who are employment deprived,288
N21000648,Health Deprivation and Disability Domain (Rank),487
N21000648,"Education, Skills and Training Domain (Rank)",486
N21000648,Access to Services Domain (Rank),248
N21000649,Multiple Deprivation Measure (Rank),553
N21000649,Income Domain (Rank),489
N21000649,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,320
N21000649,Employment Domain (18-64 years) (Rank),674
N21000649,Proportion of the working age population who are employment deprived,158
N21000649,Health Deprivation and Disability Domain (Rank),606
N21000649,"Education, Skills and Training Domain (Rank)",749
N21000649,Access to Services Domain (Rank),21
N21000650,Multiple Deprivation Measure (Rank),506
N21000650,Income Domain (Rank),494
N21000650,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,389
N21000650,Employment Domain (18-64 years) (Rank),498
N21000650,Proportion of the working age population who are employment deprived,332
N21000650,Health Deprivation and Disability Domain (Rank),370
N21000650,"Education, Skills and Training Domain (Rank)",469
N21000650,Access to Services Domain (Rank),292
N21000651,Multiple Deprivation Measure (Rank),454
N21000651,Income Domain (Rank),408
N21000651,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,390
N21000651,Employment Domain (18-64 years) (Rank),391
N21000651,Proportion of the working age population who are employment deprived,445
N21000651,Health Deprivation and Disability Domain (Rank),320
N21000651,"Education, Skills and Training Domain (Rank)",323
N21000651,Access to Services Domain (Rank),588
N21000652,Multiple Deprivation Measure (Rank),280
N21000652,Income Domain (Rank),270
N21000652,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,538
N21000652,Employment Domain (18-64 years) (Rank),250
N21000652,Proportion of the working age population who are employment deprived,562
N21000652,Health Deprivation and Disability Domain (Rank),203
N21000652,"Education, Skills and Training Domain (Rank)",196
N21000652,Access to Services Domain (Rank),643
N21000653,Multiple Deprivation Measure (Rank),515
N21000653,Income Domain (Rank),422
N21000653,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,410
N21000653,Employment Domain (18-64 years) (Rank),447
N21000653,Proportion of the working age population who are employment deprived,396
N21000653,Health Deprivation and Disability Domain (Rank),352
N21000653,"Education, Skills and Training Domain (Rank)",390
N21000653,Access to Services Domain (Rank),527
N21000654,Multiple Deprivation Measure (Rank),440
N21000654,Income Domain (Rank),443
N21000654,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,420
N21000654,Employment Domain (18-64 years) (Rank),577
N21000654,Proportion of the working age population who are employment deprived,276
N21000654,Health Deprivation and Disability Domain (Rank),502
N21000654,"Education, Skills and Training Domain (Rank)",482
N21000654,Access to Services Domain (Rank),141
N21000655,Multiple Deprivation Measure (Rank),531
N21000655,Income Domain (Rank),337
N21000655,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,530
N21000655,Employment Domain (18-64 years) (Rank),597
N21000655,Proportion of the working age population who are employment deprived,210
N21000655,Health Deprivation and Disability Domain (Rank),534
N21000655,"Education, Skills and Training Domain (Rank)",621
N21000655,Access to Services Domain (Rank),216
N21000656,Multiple Deprivation Measure (Rank),533
N21000656,Income Domain (Rank),545
N21000656,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,311
N21000656,Employment Domain (18-64 years) (Rank),612
N21000656,Proportion of the working age population who are employment deprived,190
N21000656,Health Deprivation and Disability Domain (Rank),557
N21000656,"Education, Skills and Training Domain (Rank)",663
N21000656,Access to Services Domain (Rank),53
N21000657,Multiple Deprivation Measure (Rank),548
N21000657,Income Domain (Rank),593
N21000657,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,274
N21000657,Employment Domain (18-64 years) (Rank),569
N21000657,Proportion of the working age population who are employment deprived,240
N21000657,Health Deprivation and Disability Domain (Rank),499
N21000657,"Education, Skills and Training Domain (Rank)",662
N21000657,Access to Services Domain (Rank),60
N21000658,Multiple Deprivation Measure (Rank),298
N21000658,Income Domain (Rank),172
N21000658,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,677
N21000658,Employment Domain (18-64 years) (Rank),509
N21000658,Proportion of the working age population who are employment deprived,333
N21000658,Health Deprivation and Disability Domain (Rank),505
N21000658,"Education, Skills and Training Domain (Rank)",584
N21000658,Access to Services Domain (Rank),7
N21000659,Multiple Deprivation Measure (Rank),320
N21000659,Income Domain (Rank),547
N21000659,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,296
N21000659,Employment Domain (18-64 years) (Rank),280
N21000659,Proportion of the working age population who are employment deprived,554
N21000659,Health Deprivation and Disability Domain (Rank),172
N21000659,"Education, Skills and Training Domain (Rank)",214
N21000659,Access to Services Domain (Rank),567
N21000660,Multiple Deprivation Measure (Rank),388
N21000660,Income Domain (Rank),513
N21000660,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,321
N21000660,Employment Domain (18-64 years) (Rank),322
N21000660,Proportion of the working age population who are employment deprived,485
N21000660,Health Deprivation and Disability Domain (Rank),206
N21000660,"Education, Skills and Training Domain (Rank)",241
N21000660,Access to Services Domain (Rank),570
N21000661,Multiple Deprivation Measure (Rank),399
N21000661,Income Domain (Rank),544
N21000661,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,297
N21000661,Employment Domain (18-64 years) (Rank),298
N21000661,Proportion of the working age population who are employment deprived,523
N21000661,Health Deprivation and Disability Domain (Rank),204
N21000661,"Education, Skills and Training Domain (Rank)",336
N21000661,Access to Services Domain (Rank),542
N21000662,Multiple Deprivation Measure (Rank),401
N21000662,Income Domain (Rank),429
N21000662,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,421
N21000662,Employment Domain (18-64 years) (Rank),431
N21000662,Proportion of the working age population who are employment deprived,363
N21000662,Health Deprivation and Disability Domain (Rank),317
N21000662,"Education, Skills and Training Domain (Rank)",432
N21000662,Access to Services Domain (Rank),66
N21000663,Multiple Deprivation Measure (Rank),364
N21000663,Income Domain (Rank),561
N21000663,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,271
N21000663,Employment Domain (18-64 years) (Rank),284
N21000663,Proportion of the working age population who are employment deprived,524
N21000663,Health Deprivation and Disability Domain (Rank),219
N21000663,"Education, Skills and Training Domain (Rank)",251
N21000663,Access to Services Domain (Rank),548
N21000664,Multiple Deprivation Measure (Rank),300
N21000664,Income Domain (Rank),479
N21000664,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,353
N21000664,Employment Domain (18-64 years) (Rank),270
N21000664,Proportion of the working age population who are employment deprived,529
N21000664,Health Deprivation and Disability Domain (Rank),216
N21000664,"Education, Skills and Training Domain (Rank)",255
N21000664,Access to Services Domain (Rank),361
N21000665,Multiple Deprivation Measure (Rank),375
N21000665,Income Domain (Rank),582
N21000665,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,256
N21000665,Employment Domain (18-64 years) (Rank),279
N21000665,Proportion of the working age population who are employment deprived,533
N21000665,Health Deprivation and Disability Domain (Rank),217
N21000665,"Education, Skills and Training Domain (Rank)",254
N21000665,Access to Services Domain (Rank),507
N21000666,Multiple Deprivation Measure (Rank),369
N21000666,Income Domain (Rank),249
N21000666,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,620
N21000666,Employment Domain (18-64 years) (Rank),490
N21000666,Proportion of the working age population who are employment deprived,342
N21000666,Health Deprivation and Disability Domain (Rank),501
N21000666,"Education, Skills and Training Domain (Rank)",505
N21000666,Access to Services Domain (Rank),29
N21000667,Multiple Deprivation Measure (Rank),219
N21000667,Income Domain (Rank),145
N21000667,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,715
N21000667,Employment Domain (18-64 years) (Rank),349
N21000667,Proportion of the working age population who are employment deprived,446
N21000667,Health Deprivation and Disability Domain (Rank),371
N21000667,"Education, Skills and Training Domain (Rank)",487
N21000667,Access to Services Domain (Rank),8
N21000668,Multiple Deprivation Measure (Rank),383
N21000668,Income Domain (Rank),405
N21000668,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,422
N21000668,Employment Domain (18-64 years) (Rank),435
N21000668,Proportion of the working age population who are employment deprived,369
N21000668,Health Deprivation and Disability Domain (Rank),327
N21000668,"Education, Skills and Training Domain (Rank)",429
N21000668,Access to Services Domain (Rank),24
N21000669,Multiple Deprivation Measure (Rank),463
N21000669,Income Domain (Rank),440
N21000669,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,391
N21000669,Employment Domain (18-64 years) (Rank),460
N21000669,Proportion of the working age population who are employment deprived,379
N21000669,Health Deprivation and Disability Domain (Rank),403
N21000669,"Education, Skills and Training Domain (Rank)",597
N21000669,Access to Services Domain (Rank),140
N21000670,Multiple Deprivation Measure (Rank),231
N21000670,Income Domain (Rank),449
N21000670,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,403
N21000670,Employment Domain (18-64 years) (Rank),177
N21000670,Proportion of the working age population who are employment deprived,675
N21000670,Health Deprivation and Disability Domain (Rank),135
N21000670,"Education, Skills and Training Domain (Rank)",282
N21000670,Access to Services Domain (Rank),305
N21000671,Multiple Deprivation Measure (Rank),347
N21000671,Income Domain (Rank),473
N21000671,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,343
N21000671,Employment Domain (18-64 years) (Rank),285
N21000671,Proportion of the working age population who are employment deprived,540
N21000671,Health Deprivation and Disability Domain (Rank),231
N21000671,"Education, Skills and Training Domain (Rank)",425
N21000671,Access to Services Domain (Rank),189
N21000672,Multiple Deprivation Measure (Rank),405
N21000672,Income Domain (Rank),196
N21000672,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,614
N21000672,Employment Domain (18-64 years) (Rank),541
N21000672,Proportion of the working age population who are employment deprived,277
N21000672,Health Deprivation and Disability Domain (Rank),517
N21000672,"Education, Skills and Training Domain (Rank)",600
N21000672,Access to Services Domain (Rank),95
N21000673,Multiple Deprivation Measure (Rank),179
N21000673,Income Domain (Rank),303
N21000673,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,573
N21000673,Employment Domain (18-64 years) (Rank),128
N21000673,Proportion of the working age population who are employment deprived,705
N21000673,Health Deprivation and Disability Domain (Rank),115
N21000673,"Education, Skills and Training Domain (Rank)",210
N21000673,Access to Services Domain (Rank),321
N21000674,Multiple Deprivation Measure (Rank),290
N21000674,Income Domain (Rank),379
N21000674,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,515
N21000674,Employment Domain (18-64 years) (Rank),264
N21000674,Proportion of the working age population who are employment deprived,593
N21000674,Health Deprivation and Disability Domain (Rank),261
N21000674,"Education, Skills and Training Domain (Rank)",359
N21000674,Access to Services Domain (Rank),293
N21000675,Multiple Deprivation Measure (Rank),193
N21000675,Income Domain (Rank),348
N21000675,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,545
N21000675,Employment Domain (18-64 years) (Rank),147
N21000675,Proportion of the working age population who are employment deprived,694
N21000675,Health Deprivation and Disability Domain (Rank),122
N21000675,"Education, Skills and Training Domain (Rank)",212
N21000675,Access to Services Domain (Rank),318
N21000676,Multiple Deprivation Measure (Rank),487
N21000676,Income Domain (Rank),662
N21000676,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,198
N21000676,Employment Domain (18-64 years) (Rank),375
N21000676,Proportion of the working age population who are employment deprived,432
N21000676,Health Deprivation and Disability Domain (Rank),314
N21000676,"Education, Skills and Training Domain (Rank)",319
N21000676,Access to Services Domain (Rank),566
N21000677,Multiple Deprivation Measure (Rank),283
N21000677,Income Domain (Rank),448
N21000677,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,365
N21000677,Employment Domain (18-64 years) (Rank),221
N21000677,Proportion of the working age population who are employment deprived,576
N21000677,Health Deprivation and Disability Domain (Rank),199
N21000677,"Education, Skills and Training Domain (Rank)",252
N21000677,Access to Services Domain (Rank),636
N21000678,Multiple Deprivation Measure (Rank),429
N21000678,Income Domain (Rank),621
N21000678,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,209
N21000678,Employment Domain (18-64 years) (Rank),348
N21000678,Proportion of the working age population who are employment deprived,473
N21000678,Health Deprivation and Disability Domain (Rank),297
N21000678,"Education, Skills and Training Domain (Rank)",262
N21000678,Access to Services Domain (Rank),638
N21000679,Multiple Deprivation Measure (Rank),691
N21000679,Income Domain (Rank),739
N21000679,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,120
N21000679,Employment Domain (18-64 years) (Rank),714
N21000679,Proportion of the working age population who are employment deprived,141
N21000679,Health Deprivation and Disability Domain (Rank),674
N21000679,"Education, Skills and Training Domain (Rank)",384
N21000679,Access to Services Domain (Rank),271
N21000680,Multiple Deprivation Measure (Rank),660
N21000680,Income Domain (Rank),710
N21000680,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,134
N21000680,Employment Domain (18-64 years) (Rank),692
N21000680,Proportion of the working age population who are employment deprived,152
N21000680,Health Deprivation and Disability Domain (Rank),652
N21000680,"Education, Skills and Training Domain (Rank)",406
N21000680,Access to Services Domain (Rank),424
N21000681,Multiple Deprivation Measure (Rank),325
N21000681,Income Domain (Rank),527
N21000681,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,285
N21000681,Employment Domain (18-64 years) (Rank),282
N21000681,Proportion of the working age population who are employment deprived,525
N21000681,Health Deprivation and Disability Domain (Rank),250
N21000681,"Education, Skills and Training Domain (Rank)",261
N21000681,Access to Services Domain (Rank),662
N21000682,Multiple Deprivation Measure (Rank),458
N21000682,Income Domain (Rank),294
N21000682,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,574
N21000682,Employment Domain (18-64 years) (Rank),491
N21000682,Proportion of the working age population who are employment deprived,358
N21000682,Health Deprivation and Disability Domain (Rank),447
N21000682,"Education, Skills and Training Domain (Rank)",485
N21000682,Access to Services Domain (Rank),187
N21000683,Multiple Deprivation Measure (Rank),640
N21000683,Income Domain (Rank),708
N21000683,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,135
N21000683,Employment Domain (18-64 years) (Rank),664
N21000683,Proportion of the working age population who are employment deprived,172
N21000683,Health Deprivation and Disability Domain (Rank),616
N21000683,"Education, Skills and Training Domain (Rank)",377
N21000683,Access to Services Domain (Rank),385
N21000684,Multiple Deprivation Measure (Rank),587
N21000684,Income Domain (Rank),358
N21000684,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,462
N21000684,Employment Domain (18-64 years) (Rank),700
N21000684,Proportion of the working age population who are employment deprived,133
N21000684,Health Deprivation and Disability Domain (Rank),677
N21000684,"Education, Skills and Training Domain (Rank)",661
N21000684,Access to Services Domain (Rank),125
N21000685,Multiple Deprivation Measure (Rank),504
N21000685,Income Domain (Rank),242
N21000685,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,566
N21000685,Employment Domain (18-64 years) (Rank),657
N21000685,Proportion of the working age population who are employment deprived,164
N21000685,Health Deprivation and Disability Domain (Rank),635
N21000685,"Education, Skills and Training Domain (Rank)",594
N21000685,Access to Services Domain (Rank),116
N21000686,Multiple Deprivation Measure (Rank),436
N21000686,Income Domain (Rank),426
N21000686,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,366
N21000686,Employment Domain (18-64 years) (Rank),360
N21000686,Proportion of the working age population who are employment deprived,435
N21000686,Health Deprivation and Disability Domain (Rank),298
